question	correct	wrong1	wrong2	wrong3	explanation
The sum of interior angles of a triangle is	180°	360°	90°	270°	The three interior angles of any triangle add up to 180 degrees.
A right angle measures	90°	45°	180°	60°	A right angle is exactly one quarter of a full rotation, so 90 degrees.
The Pythagorean theorem applies to	right triangles	all triangles	equilateral triangles only	circles	The theorem a² + b² = c² holds only when one angle is 90°.
The circumference of a circle with radius 7 cm (use π = 22/7) is	44 cm	14 cm	22 cm	154 cm	C = 2πr = 2 × 22/7 × 7 = 44 cm.
The area of a triangle with base 6 cm and height 4 cm is	12 cm²	24 cm²	10 cm²	6 cm²	Area = ½ × base × height = ½ × 6 × 4 = 12 cm².
Parallel lines have slopes that are	equal	negative reciprocals	zero	always positive	Two lines are parallel exactly when their slopes are the same.
Each interior angle of an equilateral triangle is	60°	90°	45°	120°	An equilateral triangle has three equal angles summing to 180°, so 180 ÷ 3 = 60.
The area of a circle with radius 5 cm (use π ≈ 3.14) is	78.5 cm²	31.4 cm²	15.7 cm²	25 cm²	Area = πr² = 3.14 × 25 = 78.5 cm².
Two angles whose measures add up to 90° are called	complementary	supplementary	adjacent	vertical	Complementary angles sum to 90°; supplementary angles sum to 180°.
The longest side of a right triangle is the	hypotenuse	leg	base	altitude	The hypotenuse sits opposite the right angle and is always the longest side.
A regular polygon with 6 equal sides is called a	hexagon	pentagon	octagon	heptagon	A hexagon has 6 sides; pentagon 5, heptagon 7, octagon 8.
Which one of the following is NOT a property of similar triangles?	equal side lengths	equal corresponding angles	proportional corresponding sides	same shape	Similar triangles have the same shape but their sides only need to be proportional, not equal.
