question	correct	wrong1	wrong2	wrong3	explanation
The cell membrane is composed mainly of	phospholipid bilayer	cellulose	chitin	peptidoglycan	The phospholipid bilayer forms the basic structure of all eukaryotic cell membranes.
Diffusion is the net movement of particles from a region of	high concentration to low concentration	low to high concentration	equal concentrations	low pressure to high pressure	Particles spread down their concentration gradient until evenly distributed.
Osmosis is the movement of which substance?	water	glucose	sodium	oxygen	Osmosis is the diffusion of water molecules across a selectively permeable membrane.
Active transport requires	ATP energy	a concentration gradient only	open pores	water	Pumping particles against their gradient consumes energy stored in ATP.
The main function of mitochondria is to	produce ATP	store DNA	make proteins	digest waste	Mitochondria carry out aerobic respiration and produce most of the cell's ATP.
Ribosomes are the site of	protein synthesis	lipid synthesis	DNA replication	glycolysis	Ribosomes translate mRNA into chains of amino acids that fold into proteins.
The rough endoplasmic reticulum is studded with	ribosomes	mitochondria	chloroplasts	lysosomes	The roughness of rough ER comes from ribosomes attached to its outer surface.
Which one of the following is NOT a function of the cell membrane?	protein synthesis	selective permeability	cell signalling	transport of materials	Protein synthesis happens at ribosomes, not at the cell membrane.
Plant cells keep a fixed shape mainly because of the	cell wall	central vacuole	chloroplasts	cytoplasm	The rigid cellulose cell wall surrounds the cell membrane and gives plant cells their shape.
Phagocytosis is best described as	cell eating large particles	water entering a cell	water leaving a cell	ions pumped out	In phagocytosis the cell engulfs solid material by wrapping its membrane around it.
A red blood cell placed in pure water will	swell and burst	shrink	stay the same	make ATP faster	Water enters by osmosis along its concentration gradient and lyses the cell.
Which transport process does NOT require energy?	facilitated diffusion	sodium-potassium pump	endocytosis	exocytosis	Facilitated diffusion uses protein channels but still moves particles down their gradient.
